dataset_name,fold,classifier,exp_type,explainer,acc_m1,acc_m2
heloc,0,neural_network,Weights,"('roar', 'e2e')",0.7034336068064418,"[0.7174111212397447, 0.6818596171376481, 0.677909450015193, 0.68034032209055, 0.6678821027043452, 0.6678821027043452, 0.7177149802491644, 0.7119416590701915, 0.6645396536007293, 0.6976602856274688]"
heloc,0,neural_network,Weights,"('dice', 'base')",0.7168034032209055,"[0.7265268915223336, 0.7265268915223336, 0.7046490428441203, 0.6845943482224248, 0.7234883014281374, 0.7228805834092981, 0.7283500455788514, 0.653296870252203, 0.723792160437557, 0.7271346095411729]"
heloc,1,neural_network,Weights,"('roar', 'e2e')",0.7231003039513678,"[0.7054711246200608, 0.7288753799392097, 0.6656534954407295, 0.7139817629179331, 0.7112462006079028, 0.7042553191489361, 0.7009118541033434, 0.7124620060790273, 0.7173252279635258, 0.6826747720364742]"
heloc,1,neural_network,Weights,"('dice', 'base')",0.7106382978723405,"[0.6896656534954407, 0.7045592705167173, 0.6993920972644377, 0.6969604863221884, 0.6872340425531915, 0.6851063829787234, 0.6884498480243161, 0.6638297872340425, 0.6917933130699088, 0.7024316109422493]"
heloc,2,neural_network,Weights,"('roar', 'e2e')",0.7322188449848024,"[0.7206686930091185, 0.6990881458966566, 0.7227963525835867, 0.6878419452887538, 0.7261398176291793, 0.7164133738601823, 0.7030395136778116, 0.7164133738601823, 0.7212765957446808, 0.7072948328267478]"
heloc,2,neural_network,Weights,"('dice', 'base')",0.7316109422492402,"[0.6911854103343466, 0.7389057750759879, 0.7148936170212766, 0.723404255319149, 0.7072948328267478, 0.7072948328267478, 0.7115501519756839, 0.6699088145896657, 0.6778115501519757, 0.680547112462006]"
heloc,0,neural_network,Bootstrap,"('roar', 'e2e')",0.7128532360984503,"[0.7134609541172896, 0.7128532360984503, 0.736858097842601, 0.7301731996353692, 0.7301731996353692, 0.7158918261926466, 0.7374658158614403, 0.7289577635976907, 0.7395928289273777, 0.7216651473716196]"
heloc,0,neural_network,Bootstrap,"('dice', 'base')",0.7289577635976907,"[0.7289577635976907, 0.7158918261926466, 0.7128532360984503, 0.7374658158614403, 0.736858097842601, 0.7134609541172896, 0.7301731996353692, 0.7395928289273777, 0.7301731996353692, 0.7216651473716196]"
heloc,1,neural_network,Bootstrap,"('roar', 'e2e')",0.7091185410334346,"[0.6996960486322188, 0.7173252279635258, 0.6869300911854104, 0.7322188449848024, 0.7091185410334346, 0.6948328267477204, 0.7167173252279635, 0.7218844984802432, 0.7054711246200608, 0.7197568389057751]"
heloc,1,neural_network,Bootstrap,"('dice', 'base')",0.7218844984802432,"[0.6948328267477204, 0.6996960486322188, 0.6869300911854104, 0.7054711246200608, 0.7197568389057751, 0.7218844984802432, 0.7091185410334346, 0.7173252279635258, 0.7167173252279635, 0.7322188449848024]"
heloc,2,neural_network,Bootstrap,"('roar', 'e2e')",0.7422492401215806,"[0.7340425531914894, 0.7203647416413373, 0.7164133738601823, 0.7319148936170212, 0.7361702127659574, 0.7398176291793314, 0.7361702127659574, 0.7422492401215806, 0.7252279635258359, 0.7045592705167173]"
heloc,2,neural_network,Bootstrap,"('dice', 'base')",0.7340425531914894,"[0.7045592705167173, 0.7361702127659574, 0.7361702127659574, 0.7319148936170212, 0.7252279635258359, 0.7340425531914894, 0.7398176291793314, 0.7422492401215806, 0.7164133738601823, 0.7203647416413373]"
heloc,0,neural_network,Architecture,"('roar', 'e2e')",0.712245518079611,"[0.7006988757216651, 0.7000911577028259, 0.7326040717107262, 0.7259191735034943, 0.7037374658158614, 0.712245518079611, 0.7079914919477363, 0.7195381343056821, 0.7438468550592525, 0.7271346095411729]"
